alias,country
Argentinian,Argentina
Australian,Australia
Austrian,Austria
Canadian,Canada
Chilean,Chile
Taiwanese,China
Taiwan,China
colombia,Colomnia
Czech,Czechia
Domican Republic,Dominican Republic
Domnican Republic,Dominican Republic
estonia,Ethiopia
Finnish,Finland
French,France
Greek,Greece
Icelandic,Iceland
iran,Iran
Irish,Ireland
Israeli,Israel
Polish,Poland
Portugese,Portugal
Romanian,Romania
St. Petersburg,Russia
Saudia Arabia,Saudi Arabia
Serbian,Serbia
Slovenian,Slovenia
South African,South Africa
South Africans,South Africa
Korea,South Korea
Spanish,Spain
Swedish,Sweden
Swiss,Switzerland
England,United Kingdom
UK,United Kingdom
New York City,United States
US,United States
U\.S\.,United States
Viet Nam,Vietnam
Zambian,Zambia
